time,volume,speed
8-9am,194,30.0
6-7pm,211,30.0
5-6pm,193,30.0
6-7am,191,30.0
7-8am,183,30.0
5-6pm,244,25.9
6-7pm,205,30.0
4-5pm,249,27.3
6-7am,215,30.0
8-9am,200,30.0
7-8pm,215,30.0
4-5pm,223,30.0
8-9am,192,30.0
6-7pm,213,30.0
4-5pm,238,28.0
7-8pm,190,30.0
6-7pm,226,30.0
7-8am,188,30.0
7-8pm,217,29.0
4-5pm,209,30.0
7-8pm,215,30.0
8-9am,226,30.0
6-7pm,206,30.0
7-8am,189,30.0
7-8am,248,23.3
6-7pm,239,29.6
7-8pm,208,30.0
6-7am,187,30.0
6-7am,220,30.0
5-6pm,207,30.0
4-5pm,220,30.0
6-7pm,230,26.2
7-8am,238,30.0
5-6pm,211,30.0
4-5pm,213,30.0
7-8am,231,30.0
7-8pm,245,27.1
7-8am,186,30.0
4-5pm,200,30.0
5-6pm,188,30.0
5-6pm,239,27.9
6-7am,181,30.0
7-8pm,248,23.0
4-5pm,223,30.0
6-7pm,200,30.0
7-8pm,213,30.0
6-7am,202,30.0
5-6pm,218,29.8
7-8pm,205,30.0
7-8pm,200,30.0
5-6pm,247,21.0
6-7am,221,30.0
7-8pm,226,27.3
7-8am,219,30.0
4-5pm,190,30.0
5-6pm,188,30.0
4-5pm,196,30.0
5-6pm,250,30.0
5-6pm,234,24.2
4-5pm,205,30.0
5-6pm,227,30.0
7-8am,237,30.0
5-6pm,188,30.0
7-8am,250,29.8
6-7pm,180,30.0
6-7am,187,30.0
7-8am,222,30.0
7-8am,215,30.0
5-6pm,249,30.0
4-5pm,240,30.0
6-7am,232,30.0
4-5pm,235,30.0
6-7am,239,23.9
6-7pm,192,30.0
6-7am,223,28.8
5-6pm,211,30.0
7-8am,237,30.0
7-8pm,215,30.0
7-8pm,189,30.0
6-7pm,250,30.0
6-7am,249,21.6
4-5pm,210,30.0
4-5pm,241,30.0
6-7am,187,30.0
7-8pm,229,30.0
6-7pm,238,30.0
8-9am,242,30.0
5-6pm,207,30.0
8-9am,249,30.0
4-5pm,187,30.0
5-6pm,244,21.8
5-6pm,200,30.0
6-7am,190,30.0
7-8am,188,30.0
5-6pm,231,30.0
6-7am,211,30.0
5-6pm,190,30.0
8-9am,246,29.2
8-9am,206,30.0
7-8am,210,30.0
7-8pm,218,30.0
5-6pm,189,30.0
7-8am,192,30.0
8-9am,244,30.0
8-9am,188,30.0
7-8pm,216,30.0
5-6pm,249,23.4
7-8pm,247,30.0
6-7pm,250,28.8
7-8am,193,30.0
6-7am,213,30.0
8-9am,250,30.0
7-8am,206,30.0
8-9am,213,30.0
4-5pm,186,30.0
8-9am,215,30.0
8-9am,196,30.0
5-6pm,200,30.0
6-7am,234,28.5
6-7pm,189,30.0
7-8pm,199,30.0
7-8am,227,29.8
8-9am,235,30.0
7-8pm,226,27.1
7-8am,185,30.0
8-9am,211,30.0
6-7pm,232,24.7
7-8am,199,30.0
7-8pm,200,30.0
6-7am,202,30.0
8-9am,202,30.0
7-8pm,232,26.5
7-8pm,211,30.0
6-7am,193,30.0
7-8pm,240,30.0
7-8pm,238,30.0
6-7pm,209,30.0
8-9am,204,30.0
8-9am,188,30.0
4-5pm,224,30.0
6-7am,248,28.7
8-9am,194,30.0
8-9am,202,30.0
4-5pm,184,30.0
8-9am,224,29.2
5-6pm,235,27.8
5-6pm,194,30.0
6-7pm,204,30.0
7-8pm,235,30.0
6-7pm,248,23.9
6-7am,205,30.0
6-7pm,222,30.0
8-9am,195,30.0
4-5pm,244,29.6
8-9am,221,30.0
4-5pm,250,30.0
7-8am,228,28.7
7-8pm,218,30.0
7-8am,180,30.0
5-6pm,235,25.9
4-5pm,221,30.0
7-8pm,207,30.0
8-9am,201,30.0
5-6pm,245,24.9
7-8pm,222,30.0
7-8am,210,30.0
6-7am,205,30.0
5-6pm,211,30.0
6-7pm,189,30.0
4-5pm,204,30.0
7-8am,243,28.7
7-8pm,180,30.0
7-8am,193,30.0
6-7pm,202,30.0
5-6pm,246,27.3
6-7am,211,30.0
4-5pm,238,30.0
5-6pm,247,20.1
4-5pm,220,28.4
5-6pm,244,28.1
6-7pm,237,24.1
7-8pm,240,28.6
8-9am,211,30.0
7-8am,246,27.0
6-7pm,215,30.0
8-9am,216,30.0
6-7am,220,28.9
4-5pm,197,30.0
6-7am,199,30.0
5-6pm,233,30.0
7-8am,239,29.2
7-8pm,233,30.0
7-8pm,182,30.0
8-9am,228,30.0
7-8pm,218,30.0
6-7pm,233,29.0
7-8am,249,22.1
4-5pm,242,30.0
8-9am,242,30.0
7-8pm,231,27.5
5-6pm,239,23.2
4-5pm,248,30.0
4-5pm,183,30.0
7-8am,197,30.0
8-9am,186,30.0
8-9am,207,30.0
7-8pm,228,30.0
6-7am,233,30.0
5-6pm,240,30.0
8-9am,186,30.0
7-8pm,208,30.0
7-8am,185,30.0
5-6pm,205,30.0
4-5pm,199,30.0
7-8am,194,30.0
7-8pm,239,25.8
5-6pm,227,30.0
7-8am,194,30.0
6-7am,219,30.0
4-5pm,219,30.0
7-8am,230,25.6
7-8pm,189,30.0
7-8pm,211,30.0
5-6pm,218,29.7
5-6pm,195,30.0
4-5pm,185,30.0
6-7pm,227,30.0
4-5pm,223,30.0
8-9am,242,30.0
4-5pm,238,26.0
6-7pm,202,30.0
5-6pm,214,30.0
7-8pm,241,28.2
7-8am,214,30.0
4-5pm,191,30.0
5-6pm,211,30.0
4-5pm,228,30.0
7-8am,221,30.0
8-9am,225,28.3
6-7pm,215,30.0
5-6pm,215,30.0
6-7pm,204,30.0
7-8pm,232,29.7
6-7pm,210,30.0
6-7am,242,28.2
4-5pm,191,30.0
5-6pm,211,30.0
5-6pm,227,30.0
6-7pm,224,30.0
6-7pm,250,28.4
8-9am,238,30.0
7-8am,209,30.0
5-6pm,220,30.0
6-7pm,203,30.0
5-6pm,241,30.0
6-7am,247,25.3
8-9am,204,30.0
6-7pm,202,30.0
6-7am,248,30.0
6-7pm,186,30.0
7-8pm,196,30.0
6-7am,242,30.0
4-5pm,216,30.0
6-7am,223,30.0
4-5pm,212,30.0
4-5pm,194,30.0
6-7pm,242,30.0
7-8pm,186,30.0
7-8am,218,30.0
4-5pm,195,30.0
4-5pm,208,30.0
8-9am,237,23.9
5-6pm,234,30.0
6-7pm,187,30.0
7-8am,192,30.0
6-7am,207,30.0
5-6pm,200,30.0
4-5pm,189,30.0
4-5pm,237,26.4
8-9am,217,30.0
4-5pm,216,30.0
8-9am,189,30.0
5-6pm,205,30.0
8-9am,208,30.0
7-8am,198,30.0
7-8pm,219,30.0
